Name,Description,Deadline,Application_url,Eligibility
Gilead COMPASS InitiativeTM - Core Grants - Technology,"The Emory University COMPASS Coordinating Center offers Core Grants of up to $4,500 per organization to support a variety of organizational and staff resources, including technology and software, meeting space costs, conference attendance fees, professional development, and continuing education. Funding requests must be related to building organizational capacity in one of the following areas: (1) governance and leadership; (2) mission, values, and strategy; (3) finance and administration; (4) resource development; (5) strategic relationships and coalition building; (6) communications; (7) internal management and operations; or (8) service delivery and impact, and must be clearly described in the application.  Core grant applications are accepted on an ongoing basis, and are reviewed twice each month by an internal team of reviewers. An initial response to completed applications will be given within 14 business days after receipt.  Applicants will be contacted if there are questions or if additional information is required to process an application. All services related to requests are expected to be completed within three (3) months of the date that funding/support is released. A final report will be required upon completion.",,https://compassinitiative.secure-platform.com/a/page/Core,1
Charles M. and Mary D. Grant Foundation Grant,"I. Timeline

Proposals are due April 30th, and grants are made in September.

II. Application Process

Please include the following items in your organization's request:

   1.Proposal (maximum of three pages) which includes:
       - Brief overview of the organization, including key target populations, numbers served, geographic scope, key accomplishments in the previous year)
       - Description of the project for which you are seeking support, including:
           +The issue or need you are addressing
           +What you hope to accomplish (outputs/outcomes)
           +How you intend to accomplish the above and a timeline for these activities
           +Brief bios of key staff engaged in the project, as well as a brief explanation of the roles of partners on the project (if applicable)
   2.Project budget
        - if it is a two-year request, please include a two-year projected budget
        - include a list of foundation, corporate and other support applied to the project budget
   3.Current fiscal year organizational budget
       - also include a projected budget for upcoming year (if available)
       - indicate if the organization has an endowment
            +quote the most recent value of the corpus
            +indicate if the funds are permanently restricted or board restricted
   4.List of foundation and corporate supporters
       - include a list of funders for the current fiscal year
       - also provide a list from the most recently completed fiscal year
       - include foundation and corporation names and amounts
PLEASE NOTE:
All applications to the
Charles M. and Mary D. Grant Foundation
must be submitted online.

Submit Your Application https://www.grantrequest.com/SID_828?SA=SNA&FID=35068

III. Contact

All correspondence, including grant recipient receipts and reports, should be addressed to:

The Charles M. and Mary D. Grant Foundation
c/o Ms. Casey Castaneda, Program Officer or
c/o Ms. Carolyn O'Brien, Program Officer
JPMorgan Chase Bank, N.A.
Private Foundation Services
270 Park Avenue, NY1-K348
New York, NY 10017

E-mail: casey.b.castaneda@jpmorgan.com

E-mail: carolyn.r.obrien@jpmorgan.com",,http://fdnweb.org/grant/application/,1
C. Louis Meyer Family Foundation Grants,"The C. Louis Meyer Family Foundation and staff carefully monitor the needs of our grantee organizations as well as the general needs in the communities we support. Although we would like to continue to consider funding proposals from new organizations and new programs, we have determined that for now it is important for us to continue to focus on supporting the work of those organizations we have funded for many years. Past funding, although providing eligibility to apply, is no guarantee of future funding and organizations are asked to limit their request to $5,000 and under unless otherwise directed.

Our Board of Directors will re-visit the funding guidelines regularly, and when any changes are made, the website will be updated accordingly.

Grants will tend to be made to smaller organizations located in areas where our trustees reside which include but are not limited to the Sandhills area of North Carolina, South Carolina and the Greater Chicago-land area.",,http://www.clmff.com/grants_application.htm,0
The NORCAL Group Foundation Grants,"What types of programs does NORCAL Group Foundation fund?
The Foundation provides grants to eligible organizations to fund programs related to Patient Care, Patient Safety, Health Education and/or Physician Wellness.

What are the eligibility requirements?
Organizations seeking funding must qualify as exempt under Section 501(c)(3) of the Internal Revenue Code.
If not a current NORCAL Group policyholder, applicants must be referred by a current NORCAL Group insured, agent/broker, or employee, or a medical society with which NORCAL Group maintains an active endorsement, sponsorship, or insurance program.
Applications are open to eligible organizations in 41 states and the District of Columbia. (See full state eligibility list below, and on Foundation Overview flyer, at right.)

Are there any exclusions to funding?
The NORCAL GROUP Foundation does not fund:
Individuals seeking personal assistance or scholarships.
Fundraising event sponsorships.
Projects seeking to promote religious or political objectives.
Construction, building enhancements or refurbishment.
General operating costs, staffing, equipment or capital campaigns.",,https://www.norcalgroupfoundation.org/apply,0
Duke Endowment Health Care Grant,"Eligibility for Health Care Grants
In his Indenture of Trust, our founder restricted Health Care funding to specific organizations.  Only the following may apply for a grant:
- Not-for-profit hospitals
- Academic health centers
- Area health education centers
- Select organizations in counties without an eligible hospital
- Not-for-profit inpatient long-term care facilities

Why does the Endowment only support programs in North Carolina and South Carolina?
We exist to fulfill the legacy of North Carolina industrialist and philanthropist James B. Duke. All grantmaking at the Endowment is guided by an Indenture of Trust (pdf), in which James B. Duke set forth specific funding guidelines that focused on children, rural churches, health care and higher education in the Carolinas. While our trustees have full discretion over year-to-year disbursements, all grants must be made in accord with the wishes of Mr. Duke that they support lives and communities in North Carolina and South Carolina.

Select 501(c)(3) organizations in North Carolina and South Carolina may be eligible for grants

The following are ineligible for funding:
- Individuals
- Organizations without a presence in North Carolina or South Carolina
- Organizations with any legal status other than 501(c)(3)
- Organizations that focus on areas other than child care, health care, or rural churches
- Institutions of higher education other than Davidson College, Duke University, Furman University and Johnson C. Smith University",,https://dukeendowment.org/health-care-apply-for-a-grant,0
Traditional Arts Touring Grants,"What are Traditional Arts?
The South is home to an abundance of traditional art forms whether they are indigenous to the region, or reflect the traditions of recent immigrant communities. Traditional arts are shared aesthetics, practices and values of families, geographic communities, occupational groups, ethnic heritage groups, etc. Traditional arts are learned orally, or by observation and imitation, often through a master artist instructing an apprentice. They are usually maintained without formal instruction or academic training. Some traditional arts have a deep-rooted history with little change, while others are constantly evolving and adapting to their changing environment.

Examples of traditional art forms (performing and visual arts) being practiced in the South include Afro-Cuban bata  drum, Catawba pottery, Zydeco music, Indian Bharatha Natyam dance, Anglo American quilting, Peruvian retablos, African American gospel music, Chinese zheng, Cherokee storytelling, and Minorcan netmaking, among others.

Program Goals
The Traditional Arts Touring Grant Program works to increase the public awareness, understanding and appreciation of the traditional arts in the South, through funding projects that bring a traditional artist/ensemble and a scholar/folklorist for multi-day residencies in Southern communities.

This funding program is open to a wide variety of organizations, including community cultural organizations, schools/colleges/universities, libraries, museums, presenters, etc. The program serves both communities and traditional artists. Priority consideration is given to support new applicants and underserved communities.

South Arts staff can also direct you to potential resources and networks to identify traditional artists and scholars/folklorists. Applicants are strongly advised to contact Teresa Hollingsworth (Director, Film and Traditional Arts), thollingsworth@southarts.org or 404-874-7244 x 14 to discuss your project before you submit your application.",,https://www.southarts.org/community-organization-grants/traditional-arts-touring-grants,0
Child & Family Well-Being Grant,"The Duke Endowment has introduced a new pre-application process for the Child and Family Well-Being program area. It consists of several questions, which will help confirm your eligibility and guide you to one of two areas of work, Prevention and Early Intervention for At-Risk Children and Out-of-Home Care.

Within Child and Family Well-Being, we focus our work in two main areas:

Prevention and Early Intervention for At-Risk Children
Programs that focus on replicating evidence-based programs, (such as Incredible Years, or Trauma-Focused Cognitive Behavioral Therapy) and building North Carolina and South Carolina's capacity to implement evidence-based models.

Search our current Prevention and Early Intervention for At-Risk Children grantees.

Out-Of-Home Care
Programs that help the child welfare system improve well-being through better assessment and the exclusive use of high quality providers that offer a range of services during and after care.

Search our current Out-Of-Home Care grantees.

Funding Categories 
Our funding is divided into three broad categories.

Replicating success grants reflect the value we place on proven programs and effective practices. Proven programs are those with at least two randomized control trials with results demonstrating effectiveness that have been replicated in a real-world setting.

Effective practices are all other programs whose evidence of effectiveness consists of only one randomized control trial, comparison group data, pre- and post-test results or other types of data.

As we work to address persistent social problems, expand individual opportunity and provide essential support, we value established approaches with clear records of success and replicable models, including:

- Multisystemic Therapy (MST)
- Parent-Child Interaction Therapy (PCIT)
- Positive Parenting Program (Triple-P)
- Strengthening Families
- The Incredible Years
- Trauma-Focused Cognitive Behavioral Therapy (TF-CBT)
- Other proven approaches will be considered as well.

Strengthening organizations grants reflect our commitment to building the infrastructure of effective organizations and institutions. In our efforts to improve facilities, systems, management and operations, we are particularly interested in supporting opportunities that show great promise for long-term gains.

Advancing innovation grants reflect our investment in projects that advance innovation when high-achieving, successful models are lacking.",,https://dukeendowment.org/grants/apply-grant,0
Morrow Legacy Foundation,"I. Timeline

Application deadlines

May 1

II. Application Process

Application period and deadlines
Applications are accepted year-round. Applications must be submitted by June 30 to be reviewed at the annual grant meeting that occurs in August.

Communications
Applicants will receive an email confirming their submission. Grant decisions are generally communicated by October for applications received by the deadline.

Required agreements and reports
Except as otherwise specified when a grant is awarded, a progress report must be submitted within 9 months after receiving funds.

III. Contact

Call Us

Grant Program or Technical Support

1-888-235-4351

Email us

grantadministration

@wellsfargo.com",,https://www.wellsfargo.com/private-foundations/morrow-legacy-foundation,1
Nahikian Family Foundation,"States served:
All

Program limitations:
There are no program limitations; however, the foundation has a practice of primarily supporting Capital Projects. The Foundation does not typically provide grants for operating expenses.

Geographic limitations:
There are no geographic limitations; however, the foundation has a practice of primarily supporting organizations located in Alabama, Florida, Michigan, and South Carolina

With a shared belief that the bond between animals and humans can support mental health, improve healing, and enable independent living, the following areas follow the convictions of Edwin and Joan Nahikian.

Child welfare and short-term foster care
The Nahikian Family Foundation supports organizations that have a proven track record of child and family services.

Specifically, we seek to help fund projects that enable organizations that serve the emotional, mental and social development of children at risk.

Depending on the organizational profile and expressed need, the foundation also gives consideration to organizations that provide food for disadvantaged children and their families.

Development and placement of service and assistance dogs
The Nahikian Family Foundation has a commitment to help fund the training and development of therapy, service and search/rescue dogs.

The foundation also provides grants for the placement of these service animals that help in the support of disabled children, families and veterans so these individuals can reach their goals of mental stability and independent living.

Companion animal placement through no-kill animal shelters
The Nahikian Family Foundation seeks to enable organizations that have a proven track record of working with their local community to place adoptable animals with human companions. The foundation prefers to provide grants to these organizations for capital initiatives.

Medical support for children and their families
The Nahikian Family Foundation supports special funding for projects that provide direct medical care to communities with limited or no medical facilities. This can include funding disaster relief or establishment of medical care facilities that are located where community needs are greatest.

Requirements
To be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.
Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.",,https://www.wellsfargo.com/private-foundations/nahikian-family-foundation,0
Appalachian Investments Supporting Partnerships In Recovery Ecosystems (INSPIRE) Initiative,"The Appalachian Regional Commission (ARC) INSPIRE Initiative provides funding to assist in moving individuals from substance abuse treatment to recovery to employment, with a focus on support services that enable and support individual successful entry or reentry into the workforce.
Successful applications will address all the following priorities:
- Provide training, job placement, and/or support activities to individuals affected by substance use disorder (SUD)
- Create or expand linkages between workforce development organizations, training providers, organizations who provide post-SUD treatment wraparound services, businesses, and other partners to assist people in recovery with maintaining their recovery as they enter or reenter the workforce
- Develop and expand industry partnerships that build and sustain the applicant's organizational capacity, leverage available resources, and establish community-based approaches for addressing workforce challenges and industry needs as they pertain to workforce entry and reentry
- Deliver support services to assist employers and industry in meeting workforce challenges to support the recovery ecosystem
- Develop and implement plans for strengthening partnerships/coalitions/consortia with the addition of new partners
- Identify and assess community needs, including the need for direct recovery services, an analysis of a community's capacity to support the provision of services, and input from those in recovery on service delivery
- Align and integrate plans, programmatic activities, and strategies with existing state, regional, or community economic development strategies",,https://www.arc.gov/sud/,0
