,Name,Opportunity Number,Eligibility,Agency Name,Description
0,Transitions to Excellence in Molecular and Cellular Biosciences Research,21-508,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"The Division of Molecular and Cellular Biosciences (MCB) has developed a new opportunity to enable researchers with a strong track record of prior accomplishment to pursue a new avenue of research or inquiry. This funding mechanism is designed to facilitate and promote a PI’s ability to effectively adopt empowering technologies that might not be readily accessible in the PI’s current research environment or collaboration network.Transformative research likely spans disciplines and minimizing the practical barriers to doing so will strengthen research programs poised to make significant contributions.The award is intended to allow mid-career or later-stage researchers (Associate or Full Professor, or equivalent) to expand or make a transition in their research programs via a sabbatical leave or similar mechanism of professional development and then develop that research program in their own lab. This award will also enable the PI to acquire new scientific or technical expertise, facilitate the investigator’s competitiveness, and potentially lead to transformational impacts in molecular and cellular bioscience. The award would fund up to six months of PI salary during the first sabbatical or professional development year, followed by support for continued research for two subsequent years upon the PI’s return to normal academic duties. Requests for flexibility in the timing of the sabbatical or professional development year will be considered with appropriate justification. Please contact the cognizant program director for the solicitation. Through this solicitation MCB and NSF hope to develop a novel mechanism that will encourage investigators to expand and/or transition to new research areas aligned with MCB priorities, to increase retention of investigators in science, and to ensure a diverse scientific workforce that remains engaged in active research.


Highest funding priority is given to proposals that have outstanding intellectual merit and broader impacts, while proposals with weaknesses in either category (or those that are perceived as likely to have an incremental impact) will not be competitive.Proposals should also demonstrate a strong record of prior accomplishment, a compelling plan for professional development that will enable the PI to forge a new direction in their scholarship, and a strong rationale for why this support is needed for the PI to become competitive in the new research area. Support for the proposed transition from the PI’s department, described in a letter from the department chair or equivalent, will also be required. Proposals that do not describe a plan for a transition in research direction will be considered unresponsive. Proposals that are motivated to understand the molecular and cellular basis of disease and disease treatments are not appropriate for the Division and will be returned without review.


Proposals addressing major open questions at the intersections of biology with other disciplines, such as physics, chemistry, mathematics, computer sciences, and engineering are of particular interest to the program."
1,Plant Genome Research Program,21-507,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"



The Plant Genome Research Program (PGRP) supports genome-scale research that addresses challenging questions of biological, societal and economic importance. PGRP encourages the development of innovative tools, technologies and resources that empower a broad plant research community to answer scientific questions on a genome-wide scale. Emphasis is placed on the scale and depth of the question being addressed and the creativity of the approach. Data produced by plant genomics should be usable, accessible, integrated across scales and of high impact across biology. Training, broadening participation, and career development are essential to scientific progress and should be integrated in all PGRP-funded projects.


Two funding tracks are currently available:

1. RESEARCH-PGR TRACK: Genome-scale plant research to address fundamental questions in biology, including processes of economic and/or societal importance.

2. TRTech-PGR TRACK: Tools, resources and technology breakthroughs that further enable functional plant genomics.




"
2,Division of Integrative Organismal Systems Core Programs,21-506,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"

The Division of Integrative Organismal Systems (IOS) Core Programs support research aimed at understanding why organisms are structured the way they are and function as they do. Proposals are welcomed in all of the core scientific program areas supported by the Division of Integrative Organismal Systems (IOS). Areas of inquiry include, but are not limited to, developmental biology and the evolution of developmental processes, nervous system development, structure, modification, function, and evolution; biomechanics and functional morphology, physiological processes, symbioses and microbial interactions, interactions of organisms with biotic and abiotic environments,plant and animal genomics, and animal behavior. Proposals should focus on organisms as a fundamental unit of biological organization. Principal Investigators are encouraged to apply systems approaches that will lead to conceptual and theoretical insights and predictions about emergent organismal properties.

"
3,Algebra and Number Theory,PD-20-1264,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"The Algebra and Number Theory program supports research in algebra, algebraic and arithmetic geometry, number theory, and representation theory.


Conferences


Principal Investigators should carefully read the program solicitation ""Conferences and Workshops in the Mathematical Sciences"" (link below) to obtain important information regarding the substance of proposals for conferences, workshops, summer/winter schools, and similar activities.


For conference proposals with budgets not exceeding $50,000, which in accordance with NSF policy can be reviewed internally at NSF, the following target dates are in effect: For events that will take place between March and December in a given year, proposals should be submitted in October of the previous year. For events that will occur in January or February of a given year, proposals should be submitted in May of the preceding year. In order to allow time for external review, conference proposals with budget requests exceeding $50,000 should be submitted roughly seven months before the event is scheduled to take place.


For fiscal year 2021, the October target dates for conference proposals are waived in view of the current pandemic. Conference proposals for meetings with budget requests not exceeding $50,000 should be submitted at least four months in advance of the event."
4,Successor-in-Interest (Type 6 Parent Clinical Trial Optional),PA-20-275,"Public housing authorities/Indian housing authoritiesSpecial district governmentsPrivate institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)City or township governmentsIndependent school districtsNative American tribal governments (Federally recognized)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)For profit organizations other than small businessesPublic and State controlled institutions of higher educationSmall businessesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsCounty governments",National Institutes of Health,"The National Institutes of Health (NIH) hereby notify recipient organizations holding specific types of NIH grants, listed in the full Funding Opportunity Announcement (FOA), that applications for change of recipient organization status, often referred to in this announcement as Successor-In-Interest, may be submitted to this FOA. Applications for change of recipient organization status are considered prior approval requests (as described in Section 8.1.2.8 of the NIH Grants Policy Statement) and will be routed for consideration directly to the Grants Management Specialist named in the current award. Although successor-in-interest requests may be submitted through this FOA, there is no guarantee that an award will be transferred to the new organization. All applicants are encouraged to discuss potential requests with the awarding IC before submission."
5,Health Services Research on Minority Health and Health Disparities (R01- Clinical Trial Optional),PAR-20-310,"Private institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsIndependent school districtsPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)Native American tribal governments (Federally recognized)State governmentsSmall businessesCounty governmentsFor profit organizations other than small businessesPublic and State controlled institutions of higher educationSpecial district governments",National Institutes of Health,The purpose of this Funding Opportunity Announcement (FOA) is to encourage innovative health services research that can directly and demonstrably contribute to the improvement of minority health and/or the reduction of health disparities at the health care system-level as well as within clinical settings.
6,Population Assessment of Tobacco and Health (PATH) Study Biospecimen Access (X01),PAR-21-044,"Private institutions of higher educationState governmentsSpecial district governmentsFor profit organizations other than small businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesPublic and State controlled institutions of higher educationIndependent school districtsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)County governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsNative American tribal governments (Federally recognized)Public housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)",National Institutes of Health,"The Population Assessment of Tobacco and Health (PATH) Study provides the scientific community with biospecimens (urine, plasma, and serum) and related research data on behaviors, attitudes, biomarkers and health outcomes associated with tobacco use in the U.S.  This opportunity allows investigators to apply for access to the biospecimens from the PATH Study.  Information about the PATH Study and this resource may be found on the PATH Study series page at the University of Michigans National Addiction and HIV Data Archive Program (NAHDAP) website, part of the Inter-University Consortium for Political and Social Researchs (ICPSR) website."
7,"Specialized Programs of Research Excellence (SPOREs) in Human Cancers for Years 2021, 2022, and 2023 (P50 Clinical Trial Required)",PAR-20-305,"Others (see text field entitled ""Additional Information on Eligibility"" for clarification)Small businessesNative American tribal governments (Federally recognized)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationCounty governmentsCity or township governmentsSpecial district governmentsIndependent school districtsPrivate institutions of higher educationPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)For profit organizations other than small businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationState governments",National Institutes of Health,"Through this funding opportunity announcement (FOA), the National Cancer Institute (NCI) invites applications for P50 Research Center Grants for Specialized Programs of Research Excellence (SPORE). The program will fund P50 SPORE grants to support state-of-the-art investigator-initiated translational research that will contribute to improved prevention, early detection, diagnosis, and treatment of an organ-specific cancer or a highly related group of cancers. For the purpose of this FOA, a group of highly related cancers are those that are derived from the same organ system, such as gastrointestinal, neuroendocrine, head and neck, and other cancers.  Other programmatically appropriate groups of cancers may include those centered around a common biological mechanism critical for promoting tumorigenesis and/or cancer progression in organ sites that belong to different organ systems. For example, a SPORE may focus on cancers caused by the same infectious agent or cancers promoted and sustained by dysregulation of a common signaling pathway. In addition, a SPORE may focus on cross-cutting themes such as pediatric cancers or cancer health disparities. The research supported through this program must be translational and must stem from research on human biology using cellular, molecular, structural, biochemical, and/or genetic experimental approaches. SPORE projects must have the goal of reaching a translational human endpoint within the project period of the grant."
8,"DoD Reconstructive Transplant, Clinical Network Award",W81XWH-20-RTRP-CNA,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",Dept. of the Army -- USAMRAA,"The RTRP seeks to promote a major multi-institutional network of VCA Centers and associated collaborators for the purpose of standardizing clinical protocols and SOPs for face and hand transplantation, and assessing those protocols in multi-institutional clinical trials. It is the intent of the RTRP to bring together investigators from as many VCA Centers for both face and hand transplantation as possible to establish a consensus in the field of reconstructive transplantation for these protocols and SOPs. The RTRP recognizes that such a consensus is a necessary first step to advancing face and hand transplantation from experimental status to that of a viable choice with the potential for reimbursement under health insurance policies. This effort will be executed through a two-phased approach in the form of a single award to the Clinical Network Coordinating Center. The Coordinating Center will serve as the Clinical Network information and planning nexus, providing administrative, operational, and data management support services to implement Clinical Network activities in a timely manner. Guidance and oversight of the Clinical Network will be provided by the RTRP Clinical Network Steering Committee, composed of the RTRP Programmatic Panel, program staff, and other key U.S. Army Medical Research and Development Command (USAMRDC) personnel. Phase I Phase I of the award will consist of five key objectives: • Establish the Clinical Network: Once awarded, the Coordinating Center must work with the RTRP Clinical Network Steering Committee to invite VCA Centers and other collaborators into the Clinical Network as subawards to serve as Network Sites. (Network Sites will not be included in the application itself.) The Clinical Network must be representative of both face and hand transplantation and include as many VCA Centers as possible, as well as other collaborators as necessary to adequately include expertise across all RTRP Clinical Network Focus Areas. • Develop Standardized Protocols and SOPs: The Coordinating Center will establish a framework and collaborative environment for the Clinical Network within which the Network Sites will work as equal partners to meet the goals of standardizing protocols and SOPs for both face and hand transplantation. • Develop Clinical Trial Applications: The Coordinating Center will work with the Network Sites to develop one clinical trial application for face transplantation and one clinical trial application for hand transplantation utilizing the standardized protocols and SOPs. • External Peer Review: The Coordinating Center will be responsible for coordinating and funding an external scientific peer review of the two clinical trial applications developed under Phase I of the award. Results of the peer review will then be submitted to the RTRP Clinical Network Steering Committee for assessment. • Regulatory Approval: Any regulatory approvals required by the U.S. Food and Drug Administration (FDA) must be obtained during Phase I. Upon approval to proceed with the scientifically reviewed clinical trials from the RTRP Clinical Network Steering Committee, the standardized protocols and SOPs will be submitted to the single unified Institutional Review Board (IRB) of record for review and, upon approval, then submitted to the USAMRDC Human Research Protection Office (HRPO) for review and approval. The period of performance for Phase I is 2 years, with maximum funding of $3 million (M) in total costs to the Coordinating Center. The Coordinating Center will manage funding to the Network Sites as subawards and for other key collaborators. RTRP funding for the Phase II option is contingent on successful completion of Phase I objectives and on available funding. Phase II The Phase II option of the award, pending availability of funds, will have one key objective: • Conduct Clinical Trials: The Clinical Network will expand upon the successful development of standardized protocols and SOPs for both face and hand transplantation by assessing and validating them in multi-institutional clinical trials (one for face transplantation and one for hand transplantation). Network Sites with VCA Centers will serve as enrollment sites for at least one of the clinical trials, depending on its specialty in face and/or hand transplantation. "
9,Sustainable Landscapes Broad Agency Announcement,BAA-E3-SUSTAINABLELANDSCAPES-2020,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",Agency for International Development,"This Broad Agency Announcement (BAA) seeks opportunities to co-create, co-design, co-invest, and collaborate in the research, development, piloting, and scaling of innovative interventions for reducing land-based greenhouse gas (GHG) emissions and increasing long-term carbon sequestration at scale. The United States Agency for International Development (USAID) invites organizations, companies, foundations, community-based enterprises and other public and private entities, academic and research institutions, partner country government agencies, and investors to propose novel or creative approaches for achieving these objectives and at the same time promoting inclusive, economic growth, conserve biodiversity and sustainably manage natural resources, advancing democratic values, promoting transparency and the rule of law, and contributing to greater prosperity and well-being. Cross-sectoral and integrated approaches to addressing other development challenges together with reducing GHG emissions are also welcome, as they are often critical to scaling up climate mitigation outcomes.  USAID’s Office of Global Climate Change (GCC) within the Bureau for Economic Growth, Education and Environment (E3), in cooperation with USAID regional bureaus and selected Missions, developed this BAA for Sustainable Landscapes to improve the Agency’s ability to assist partner countries in solving complex challenges that threaten sustainable development. This BAA seeks to engage with a wide range of actors to develop and provide innovative interventions that further USAID’s commitments to assisting partner countries on their Journey to Self-Reliance through protecting the environment and natural resources and promoting sustainable development and livelihoods in ways that reduce land-based greenhouse gas emissions or increase long-term carbon sequestration at scale. Interventions should offer significant promise for conserving, managing, and/or restoring ecosystems and productive lands in developing countries through one or more levers that address the key threats and drivers that influence GHG emissions and carbon sequestration in the land sector. USAID plans to issue addenda under this BAA that solicit engagement on specific opportunities to address Sustainable Landscapes issues, for example in specific sectors, countries, or geographies.[1] [1] Through this BAA, USAID is announcing the Agency’s intent to seek opportunities to co-create, co-design, co-invest, and collaborate but USAID is not soliciting expressions of interest with this announcement. These will be solicited through a subsequent addendum or addenda to this BAA."
