,Eligibility,Name,Description,Link,Deadline
0,0,"Grants to Texas Nonprofits and Agencies 
to Promote Local Tourism Opportunities","Grants of up to $10,000 to Texas nonprofit organizations and government agencies to promote local tourism opportunities. Applicants are requested to contact program staff prior to applying. Funding may be requested for activities that involve the preservation of the ar...",https://texas.grantwatch.com//grant/176938/grants-to-texas-nonprofits-and-agencies-to-promote-local-tourism-opportunities.html,2012/1/20
1,0,"Grants to USA, Canada, and International Civil Societies, 
NGOs, and Other Organizations to P...","Grants to USA, Canada, and International civil society organizations, non-governmental organizations, independent and constitutional bodies, inter-governmental bodies, associations, and organizations for projects that promote democracy around the world. Funding is inte...",https://texas.grantwatch.com//grant/177422/grants-to-usa-canada-and-international-civil-societies-ngos-and-other-organizations-to-promote-democracy.html,2012/1/20
2,0,"Prizes to USA PreK-12 Schools for Creative Repurposing 
of Milk and Juice Cartons in School G...","Prizes to USA PreK-12 schools for imaginative use of repurposed juice and milk cartons in creating or enhancing a school garden. Some of the prizes will be awarded specifically in the categories of creative arts, health and nutrition, STEM, and environmental stewardshi...",https://texas.grantwatch.com//grant/178027/prizes-to-usa-prek-schools-for-creative-repurposing-of-milk-and-juice-cartons-in-school-gardens.html,2012/1/20
3,0,"Grants to USA Nonprofits for Programming
to Promote the Dairy Industry","Grants of up to $5,000 to USA nonprofit organizations for initiatives and programs that promote and educate the public about the dairy industry. The Foundation has three main focus areas: building the skills of dairy producers, creating the next generation of professio...",https://texas.grantwatch.com//grant/178677/grants-to-usa-nonprofits-for-programming-to-promote-the-dairy-industry.html,2012/1/20
4,1,"In-Kind Grant to a Lewisville, Texas Youth Group for an
Environmental Stewardship Community S...","In-kind grant of supplies valued at up to $500 to a Lewisville, Texas adult-sponsored youth group for an environmental stewardship community service project. The project should reflect one or more of the following goals: Litter prevention, beautification and community ...",https://texas.grantwatch.com//grant/179965/in-kind-grant-to-a-lewisville-texas-youth-group-for-an-environmental-stewardship-community-service-project.html,2012/1/20
5,0,"Grants to USA Nonprofits for Projects that
Address Policy Issues for Older Adults","Grants to USA nonprofit organizations for projects that benefit older Americans ages 65 and above. Funding is intended for advocacy projects that address policy issues nationwide or with the following states: Florida, Wisconsin, Missouri, Kentucky, Iowa, Indiana, or Il...",https://texas.grantwatch.com//grant/180281/grants-to-usa-nonprofits-for-projects-that-address-policy-issues-for-older-adults.html,2002/1/21
6,0,"Grants to Texas Nonprofits for Healthcare, Human 
Services, and Education for Disadvantaged C...","Grants to Texas nonprofit organizations for a wide range of community benefit programs. Funding is intended to support programs and projects in the areas of healthcare, human services, and education that benefit disadvantaged communities. Preference is given to organiz...",https://texas.grantwatch.com//grant/181564/grants-to-texas-nonprofits-for-healthcare-human-services-and-education-for-disadvantaged-communities.html,2012/1/20
7,1,"Grants to USA Nonprofit Visual Arts 
Organizations for General Operations","Grants of up to $20,000 per year to USA small nonprofit arts organizations to support general operations. Applicants must submit a Letter of Inquiry prior to applying. Funding is intended for a wide range of activities, initiatives, and programs that promote the arts a...",https://texas.grantwatch.com//grant/185411/grants-to-usa-nonprofit-visual-arts-organizations-for-general-operations.html,"03/01/21
LOI Date: 12/01/20"
8,0,"Grants to Texas Nonprofits and Agencies for 
Historical Projects in a Wide Range of Disciplin...","Grants averaging $10,000 to Texas nonprofit organizations and governmental agencies for historical projects across a wide range of disciplines. Interested applicants are required to contact staff prior to applying. Funding is intended to support projects on the history...",https://texas.grantwatch.com//grant/192026/grants-to-texas-nonprofits-and-agencies-for-historical-projects-in-a-wide-range-of-disciplines.html,2012/1/20
9,0,"Grants to USA Nonprofits for Research Projects 
Related to the Well Being of Older Adults","Grants to USA nonprofit organizations to conduct applied research projects that have direct and immediate implications on the adult population, ages 65 and older. Funding is intended for research that seeks to identify practices, interventions, and policies to improve ...",https://texas.grantwatch.com//grant/192501/grants-to-usa-nonprofits-for-research-projects-related-to-the-well-being-of-older-adults.html,2002/1/21
